frame,capture_time,log_time,hmd_position_x,hmd_position_y,hmd_position_z,hmd_rotation_x,hmd_rotation_y,hmd_rotation_z,hmd_rotation_w,gaze_status,combined_gaze_forward_x,combined_gaze_forward_y,combined_gaze_forward_z,combined_gaze_position_x,combined_gaze_position_y,combined_gaze_position_z,inter_pupillary_distance_mm,left_eye_status,left_eye_forward_x,left_eye_forward_y,left_eye_forward_z,left_eye_position_x,left_eye_position_y,left_eye_position_z,left_pupil_iris_ratio,left_pupil_diameter_mm,left_iris_diameter_mm,left_eye_openness,right_eye_status,right_eye_forward_x,right_eye_forward_y,right_eye_forward_z,right_eye_position_x,right_eye_position_y,right_eye_position_z,right_pupil_iris_ratio,right_pupil_diameter_mm,right_iris_diameter_mm,right_eye_openness,focus_distance,focus_stability,time_s,time_ms,sample_dt_ms,gaze_azimuth_deg,gaze_elevation_deg,in_invalid_run,invalid_run_id,gaze_valid,left_eye_valid,right_eye_valid,blink_left,blink_right,pupil_left_out_of_bounds,pupil_right_out_of_bounds,pupil_asymmetry_exceeded,focus_distance_sentinel,focus_out_of_bounds,focus_unstable,interpolated_left_pupil,interpolated_right_pupil,excluded
725175,1000003884747010600,63875744676001,0,0,0,0,0,0,1,VALID,-0.019,-0.036,0.999,0,0,0,52.375,VALID,0.032,-0.005,0.999,-0.028,0,0,0.416,2.864,6.887,0.892,VALID,-0.019,-0.036,0.999,0.028,0,0,0.421,2.715,6.454,0.877,0.8065137,0.3992666,0.1152651,115.2651,5.004000000000005,-1.089578157748161,-2.063093854487329,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725176,1000003884751999800,63875744676001,0,0,0,0,0,0,1,VALID,-0.019,-0.036,0.999,0,0,0,52.375,VALID,0.032,-0.005,0.999,-0.028,0,0,0.416,2.863,6.887,0.892,VALID,-0.019,-0.036,0.999,0.028,0,0,0.42,2.713,6.454,0.879,0.8030896,0.4337446,0.1202543,120.2543,4.989199999999997,-1.089578157748161,-2.063093854487329,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725177,1000003884757017400,63875744676001,0,0,0,0,0,0,1,VALID,-0.018,-0.036,0.999,0,0,0,52.375,VALID,0.032,-0.005,0.999,-0.028,0,0,0.415,2.861,6.887,0.893,VALID,-0.018,-0.036,0.999,0.028,0,0,0.42,2.711,6.454,0.878,0.7991894,0.448089,0.1252719,125.2719,5.017600000000002,-1.032244691565731,-2.063093854487329,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725178,1000003884762084100,63875744676001,0,0,0,0,0,0,1,VALID,-0.018,-0.037,0.999,0,0,0,52.375,VALID,0.032,-0.005,0.999,-0.028,0,0,0.415,2.86,6.887,0.889,VALID,-0.018,-0.037,0.999,0.028,0,0,0.42,2.71,6.454,0.881,0.7939894,0.4687098,0.1303386,130.3386,5.0667000000000115,-1.032244691565731,-2.120427840730745,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725179,1000003884767079500,63875744676001,0,0,0,0,0,0,1,VALID,-0.018,-0.037,0.999,0,0,0,52.375,VALID,0.032,-0.005,0.999,-0.028,0,0,0.415,2.858,6.887,0.886,VALID,-0.018,-0.037,0.999,0.028,0,0,0.42,2.708,6.454,0.882,0.7891431,0.5012683,0.135334,135.334,4.995399999999989,-1.032244691565731,-2.120427840730745,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725180,1000003884772091900,63875744676001,0,0,0,0,0,0,1,VALID,-0.018,-0.037,0.999,0,0,0,52.375,VALID,0.032,-0.005,0.999,-0.028,0,0,0.415,2.857,6.887,0.887,VALID,-0.018,-0.037,0.999,0.028,0,0,0.419,2.707,6.454,0.882,0.7843742,0.5260853,0.1403464,140.3464,5.012399999999985,-1.032244691565731,-2.120427840730745,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725181,1000003884777117000,63875744676001,0,0,0,0,0,0,1,VALID,-0.018,-0.038,0.999,0,0,0,52.375,VALID,0.032,-0.004,0.999,-0.028,0,0,0.414,2.855,6.887,0.887,VALID,-0.018,-0.038,0.999,0.028,0,0,0.419,2.705,6.454,0.883,0.7792032,0.5231228,0.1453715,145.3715,5.025100000000009,-1.032244691565731,-2.1777639512803675,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725182,1000003884782129400,63875744676001,0,0,0,0,0,0,1,VALID,-0.018,-0.038,0.999,0,0,0,52.375,VALID,0.032,-0.004,0.999,-0.028,0,0,0.414,2.853,6.887,0.885,VALID,-0.018,-0.038,0.999,0.028,0,0,0.419,2.703,6.454,0.884,0.7743719,0.5467602,0.1503839,150.3839,5.012400000000014,-1.032244691565731,-2.1777639512803675,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725183,1000003884787142500,63875744676001,0,0,0,0,0,0,1,VALID,-0.018,-0.038,0.999,0,0,0,52.375,VALID,0.032,-0.004,0.999,-0.028,0,0,0.414,2.852,6.887,0.883,VALID,-0.018,-0.038,0.999,0.028,0,0,0.419,2.701,6.454,0.884,0.7687284,0.5604393,0.155397,155.397,5.01309999999998,-1.032244691565731,-2.1777639512803675,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
725184,1000003884792154900,63875744676001,0,0,0,0,0,0,1,VALID,-0.018,-0.039,0.999,0,0,0,52.375,VALID,0.032,-0.004,0.999,-0.028,0,0,0.414,2.851,6.887,0.882,VALID,-0.018,-0.039,0.999,0.028,0,0,0.418,2.699,6.454,0.884,0.7645019,0.6513069,0.1604094,160.4094,5.012400000000014,-1.032244691565731,-2.2351022437956822,false,,true,true,true,false,false,false,false,false,false,false,false,false,false,false
