frame,time_s,left_pupil_diameter_mm,right_pupil_diameter_mm,left_pupil_iris_ratio,right_pupil_iris_ratio,gaze_valid,left_eye_valid,right_eye_valid,blink_left,blink_right,pupil_left_out_of_bounds,pupil_right_out_of_bounds,pupil_asymmetry_exceeded,interpolated_left_pupil,interpolated_right_pupil
725238,0.4310347,2.745,2.642,0.399,0.409,true,true,true,false,false,false,false,false,false,false
725239,0.4360276,2.746,2.643,0.399,0.409,true,true,true,false,false,false,false,false,false,false
725240,0.4410364,2.746,2.644,0.399,0.41,true,true,true,false,false,false,false,false,false,false
725400,1.2430362,2.967,2.886,0.431,0.447,true,true,true,false,false,false,false,false,false,false
725401,1.248052,2.918,2.878,0.424,0.446,true,true,true,false,false,false,false,false,false,false
725402,1.2530299,2.858,2.861,0.415,0.443,true,true,true,false,false,false,false,false,false,false
725403,1.2580554,2.8489913059066057,2.865652390327758,,,false,false,false,false,false,false,false,false,true,true
725404,1.2630712,2.84,2.870295800815464,0.412,,true,true,false,false,false,false,false,false,false,true
725405,1.2681495,2.819844571678156,2.874997071097317,,,false,false,false,false,false,false,false,false,true,true
725406,1.2731653,2.799937201617958,2.879640481585023,,,false,false,false,false,false,false,false,false,true,true
725407,1.2781543,2.780136198940353,2.884259081792999,,,false,false,false,false,false,false,false,false,true,true
725408,1.2831454,2.7603268615051557,2.8888796260900587,,,false,false,false,false,false,false,false,false,true,true
725409,1.2881579,2.7404325889211725,2.893519981580634,,,false,false,false,false,false,false,false,false,true,true
725410,1.2931372,2.720670084885775,2.898129601948558,,,false,false,false,false,false,false,false,false,true,true
725411,1.2981462,2.7007897035644435,2.9027667172906613,,,false,false,false,false,false,false,false,false,true,true
725412,1.3031567,2.6809033688448323,2.907405221267824,,,false,false,false,false,false,false,false,false,true,true
725413,1.308162,2.66103767257259,2.9120389113101135,,,false,false,false,false,false,false,false,false,true,true
725414,1.3131735,2.6411473689207923,2.9166783410439825,,,false,false,false,false,false,false,false,false,true,true
725415,1.3181831,2.6212646062401492,2.921316011840109,,,false,false,false,false,false,false,false,false,true,true
725416,1.3232368,2.601206813650089,2.925994508506986,,,false,false,false,false,false,false,false,false,true,true
725417,1.3282421,2.5813411173778467,2.9306281985492753,,,false,false,false,false,false,false,false,false,true,true
725418,1.3332517,2.561458354697203,2.935265869345402,,,false,false,false,false,false,false,false,false,true,true
725419,1.338257,2.541592658424961,2.9398995593876918,,,false,false,false,false,false,false,false,false,true,true
725420,1.3432744,2.521678938073264,2.944544451086128,,,false,false,false,false,false,false,false,false,true,true
725421,1.3482797,2.5018132418010217,2.9491781411284177,,,false,false,false,false,false,false,false,false,true,true
725422,1.3532893,2.481930479120379,2.9538158119245446,,,false,false,false,false,false,false,false,false,true,true
725423,1.3584102,2.4616059742873966,2.9585565194420878,,,false,false,false,false,false,false,false,false,true,true
725424,1.3633839,2.4418656962722425,2.963160955572457,,,false,false,false,false,false,false,false,false,true,true
725425,1.3683892,2.422,2.9677946456147466,0.352,,true,true,false,true,true,false,false,false,false,true
725426,1.3733782,2.510108317835785,2.9724132458227226,,,false,false,false,false,false,false,false,false,true,true
725427,1.3783328,2.5976091138969513,2.977,,0.461,true,false,true,false,false,false,false,false,true,false
725428,1.3833378,2.686,2.976,0.39,0.461,true,true,true,true,true,false,false,false,false,false
725429,1.3883434,2.687,2.975,0.39,0.461,true,true,true,true,true,false,false,false,false,false
725430,1.3933484,2.774,2.974,0.403,0.461,true,true,true,true,true,false,false,false,false,false
725431,1.3983796,2.802,2.969,0.407,0.46,true,true,true,true,true,false,false,false,false,false
725432,1.4033849,2.814,2.948,0.409,0.457,true,true,true,true,true,false,false,false,false,false
725433,1.4083902,2.838,2.938,0.412,0.455,true,true,true,true,true,false,false,false,false,false
725434,1.4133955,2.862,2.928,0.416,0.454,true,true,true,true,true,false,false,false,false,false
725435,1.4184263,2.875,2.92,0.417,0.452,true,true,true,true,true,false,false,false,false,false
725436,1.4234437,2.911,2.915,0.423,0.452,true,true,true,true,true,false,false,false,false,false
725437,1.4284487,2.917,3.313,0.424,0.513,true,true,true,false,true,false,false,false,false,false
725438,1.433501,2.917,3.356,0.423,0.52,true,true,true,false,false,false,false,false,false,false
725439,1.438481,2.917,3.38,0.424,0.524,true,true,true,false,false,false,false,false,false,false
725440,1.4434934,2.918,3.389,0.424,0.525,true,true,true,false,false,false,false,false,false,false
725441,1.4484968,2.918,3.391,0.424,0.525,true,true,true,false,false,false,false,false,false,false
725442,1.453525,2.918,3.16,0.424,0.49,true,true,true,false,false,false,false,false,false,false
725443,1.4585284,2.929,3.079,0.425,0.477,true,true,true,false,false,false,false,false,false,false
725444,1.4635307,2.958,3.048,0.429,0.472,true,true,true,false,false,false,false,false,false,false
725445,1.4685341,2.966,3.025,0.431,0.469,true,true,true,false,false,false,false,false,false,false
725446,1.4735764,2.967,3.01,0.431,0.466,true,true,true,false,false,false,false,false,false,false
725447,1.4785798,2.968,2.993,0.431,0.464,true,true,true,false,false,false,false,false,false,false
725448,1.4835877,2.967,2.987,0.431,0.463,true,true,true,false,false,false,false,false,false,false
725449,1.4886354,2.967,2.982,0.431,0.462,true,true,true,false,false,false,false,false,false,false
725450,1.4936433,2.968,2.976,0.431,0.461,true,true,true,false,false,false,false,false,false,false
725451,1.4986517,2.975,2.971,0.432,0.46,true,true,true,false,false,false,false,false,false,false
725452,1.5036596,2.98,2.968,0.433,0.46,true,true,true,false,false,false,false,false,false,false
725453,1.5086714,2.982,2.967,0.433,0.46,true,true,true,false,false,false,false,false,false,false
725454,1.5136793,2.986,2.967,0.434,0.46,true,true,true,false,false,false,false,false,false,false
725455,1.5186738,2.987,2.966,0.434,0.46,true,true,true,false,false,false,false,false,false,false
725456,1.5236858,2.988,2.966,0.434,0.46,true,true,true,false,false,false,false,false,false,false
725457,1.5286976,2.988,2.966,0.434,0.46,true,true,true,false,false,false,false,false,false,false
725458,1.5337085,3,2.966,0.436,0.46,true,true,true,false,false,false,false,false,false,false
725459,1.5387203,3.009,2.966,0.437,0.46,true,true,true,false,false,false,false,false,false,false
725460,1.5437321,3.01,2.966,0.437,0.46,true,true,true,false,false,false,false,false,false,false
725461,1.5487439,3.013,2.966,0.438,0.46,true,true,true,false,false,false,false,false,false,false
725462,1.5537885,3.015,2.966,0.438,0.46,true,true,true,false,false,false,false,false,false,false
725463,1.5588003,3.018,2.966,0.438,0.46,true,true,true,false,false,false,false,false,false,false
725464,1.5638121,3.02,2.966,0.438,0.46,true,true,true,false,false,false,false,false,false,false
725465,1.568823,3.021,3.007,0.439,0.466,true,true,true,false,false,false,false,false,false,false
725466,1.5738348,3.021,3.023,0.439,0.468,true,true,true,false,false,false,false,false,false,false
725467,1.5788457,3.022,3.029,0.439,0.469,true,true,true,false,false,false,false,false,false,false
725468,1.5838566,3.022,3.032,0.439,0.47,true,true,true,false,false,false,false,false,false,false
725469,1.5888684,3.021,3.033,0.439,0.47,true,true,true,false,false,false,false,false,false,false
725470,1.593878,3.019,3.03,0.438,0.47,true,true,true,false,false,false,false,false,false,false
725471,1.5988889,3.012,3.026,0.437,0.469,true,true,true,false,false,false,false,false,false,false
725472,1.6038998,2.993,3.026,0.435,0.469,true,true,true,false,false,false,false,false,false,false
725473,1.6090059,2.971,3.026,0.431,0.469,true,true,true,false,false,false,false,false,false,false
725474,1.6140154,2.905,3.025,0.422,0.469,true,true,true,false,false,false,false,false,false,false
725475,1.6189073,2.888,3.025,0.419,0.469,true,true,true,false,false,false,false,false,false,false
725476,1.6239168,2.885,2.988,0.419,0.463,true,true,true,false,false,false,false,false,false,false
725477,1.6289376,2.876,2.85,0.418,0.442,true,true,true,false,false,false,false,false,false,false
725478,1.6339554,2.818,2.815,0.409,0.436,true,true,true,false,false,false,false,false,false,false
725479,1.6390009,2.721,2.418,0.395,0.375,true,true,true,false,true,false,false,false,false,false
725480,1.6440108,2.7591533550262324,,,,false,false,false,false,false,false,false,false,true,false
725481,1.6489793,2.7969914245381653,,,,false,false,false,false,false,false,false,false,true,false
725482,1.6540023,2.8352445438213385,,,,false,false,false,false,false,false,false,false,true,false
725483,1.6590127,2.873401706643636,,,,false,false,false,false,false,false,false,false,true,false
725484,1.6640577,2.9118223689537306,,,,false,false,false,false,false,false,false,false,true,false
725485,1.6690672,2.949972677743109,,,,false,false,false,false,false,false,false,false,true,false
725486,1.6740767,2.9881229865324888,,,,false,false,false,false,false,false,false,false,true,false
725487,1.6790862,3.0262732953218667,,,,false,false,false,false,false,false,false,false,true,false
725488,1.6841326,3.064704619460947,,,,false,false,false,false,false,false,false,false,true,false
725489,1.6891596,3.1029882011126504,,,,false,false,false,false,false,false,false,false,true,false
725490,1.6941721,3.1411613566784284,,,,false,false,false,false,false,false,false,false,true,false
725491,1.6991477,3.1790534968945043,,,,false,false,false,false,false,false,false,false,true,false
725492,1.7041602,3.2172266524602824,,,,false,false,false,false,false,false,false,false,true,false
725493,1.7091887,3.255521657500184,,,,false,false,false,false,false,false,false,false,true,false
725494,1.7142012,3.2936948130659616,,,,false,false,false,false,false,false,false,false,true,false
725495,1.719219,3.3319083312700437,,,,false,false,false,false,false,false,false,false,true,false
725496,1.7242208,3.37,,0.489,,true,true,false,true,true,false,false,false,false,false
725497,1.7292386,3.37,,0.489,,true,true,false,true,true,false,false,false,false,false
725498,1.7342511,,,,,false,false,false,false,false,false,false,false,false,false
725499,1.7392689,,,,,false,false,false,false,false,false,false,false,false,false
725500,1.7442814,,,,,false,false,false,false,false,false,false,false,false,false
725501,1.7492992,,,,,false,false,false,false,false,false,false,false,false,false
725502,1.7543117,,,,,false,false,false,false,false,false,false,false,false,false
725503,1.759285,,,,,false,false,false,false,false,false,false,false,false,false
725504,1.7642975,,,,,false,false,false,false,false,false,false,false,false,false
725505,1.76931,,,,,false,false,false,false,false,false,false,false,false,false
725506,1.7743359,,,,,false,false,false,false,false,false,false,false,false,false
725507,1.7793425,,,,,false,false,false,false,false,false,false,false,false,false
725508,1.7843533,,,,,false,false,false,false,false,false,false,false,false,false
725509,1.7893599,,,,,false,false,false,false,false,false,false,false,false,false
725510,1.7943707,,,,,false,false,false,false,false,false,false,false,false,false
725511,1.7993815,,,,,false,false,false,false,false,false,false,false,false,false
725512,1.8043881,,,,,false,false,false,false,false,false,false,false,false,false
725513,1.8093798,,,,,false,false,false,false,false,false,false,false,false,false
725514,1.8143806,,,,,false,false,false,false,false,false,false,false,false,false
725515,1.8194009,,,,,false,false,false,false,false,false,false,false,false,false
725516,1.8244292,,,,,false,false,false,false,false,false,false,false,false,false
725517,1.8294449,,,,,false,false,false,false,false,false,false,false,false,false
725518,1.8344515,,,,,false,false,false,false,false,false,false,false,false,false
725519,1.8394623,,,,,false,false,false,false,false,false,false,false,false,false
725520,1.8444689,,,,,false,false,false,false,false,false,false,false,false,false
725521,1.8495017,,,,,false,false,false,false,false,false,false,false,false,false
725522,1.8545083,,,,,false,false,false,false,false,false,false,false,false,false
725523,1.8595191,,,,,false,false,false,false,false,false,false,false,false,false
725524,1.8645331,,,,,false,false,false,false,false,false,false,false,false,false
725525,1.8695431,,,,,false,false,false,false,false,false,false,false,false,false
725526,1.8745531,,,,,false,false,false,false,false,false,false,false,false,false
725527,1.8795982,,,,,false,false,false,false,false,false,false,false,false,false
725528,1.884609,,,,,false,false,false,false,false,false,false,false,false,false
725529,1.889619,,,,,false,false,false,false,false,false,false,false,false,false
725530,1.8946298,,,,,false,false,false,false,false,false,false,false,false,false
725531,1.8996398,,,,,false,false,false,false,false,false,false,false,false,false
725532,1.9046815,,,,,false,false,false,false,false,false,false,false,false,false
725533,1.9096915,,,,,false,false,false,false,false,false,false,false,false,false
725534,1.9146637,,,,,false,false,false,false,false,false,false,false,false,false
725535,1.9196531,,,,,false,false,false,false,false,false,false,false,false,false
725536,1.9246651,,,,,false,false,false,false,false,false,false,false,false,false
725537,1.9296837,,,,,false,false,false,false,false,false,false,false,false,false
725538,1.9346918,,,,,false,false,false,false,false,false,false,false,false,false
725539,1.9397028,,,,,false,false,false,false,false,false,false,false,false,false
725540,1.9447128,,,,,false,false,false,false,false,false,false,false,false,false
725541,1.9497272,,,,,false,false,false,false,false,false,false,false,false,false
