frame,time_s,gaze_status,combined_gaze_forward_x,combined_gaze_forward_y,combined_gaze_forward_z,gaze_valid,in_invalid_run,sample_dt_ms,gaze_azimuth_deg,gaze_elevation_deg
725168,0.0801694,VALID,-0.02,-0.034,0.999,true,false,4.990600000000001,-1.1469094417273433,-1.9484320243766013
725169,0.0851812,VALID,-0.02,-0.034,0.999,true,false,5.011800000000008,-1.1469094417273433,-1.9484320243766013
725170,0.0901943,VALID,-0.02,-0.034,0.999,true,false,5.013099999999994,-1.1469094417273433,-1.9484320243766013
725171,0.0952231,VALID,-0.02,-0.035,0.999,true,false,5.028800000000004,-1.1469094417273433,-2.0057619349098257
725172,0.1002362,VALID,-0.019,-0.035,0.999,true,false,5.013099999999994,-1.089578157748161,-2.0057619349098257
725173,0.1052493,VALID,-0.019,-0.035,0.999,true,false,5.0131000000000085,-1.089578157748161,-2.0057619349098257
725174,0.1102611,VALID,-0.019,-0.036,0.999,true,false,5.011799999999994,-1.089578157748161,-2.063093854487329
725175,0.1152651,VALID,-0.019,-0.036,0.999,true,false,5.004000000000005,-1.089578157748161,-2.063093854487329
725176,0.1202543,VALID,-0.019,-0.036,0.999,true,false,4.989199999999997,-1.089578157748161,-2.063093854487329
725177,0.1252719,VALID,-0.018,-0.036,0.999,true,false,5.017600000000002,-1.032244691565731,-2.063093854487329
725178,0.1303386,VALID,-0.018,-0.037,0.999,true,false,5.0667000000000115,-1.032244691565731,-2.120427840730745
725179,0.135334,VALID,-0.018,-0.037,0.999,true,false,4.995399999999989,-1.032244691565731,-2.120427840730745
725180,0.1403464,VALID,-0.018,-0.037,0.999,true,false,5.012399999999985,-1.032244691565731,-2.120427840730745
725181,0.1453715,VALID,-0.018,-0.038,0.999,true,false,5.025100000000009,-1.032244691565731,-2.1777639512803675
725182,0.1503839,VALID,-0.018,-0.038,0.999,true,false,5.012400000000014,-1.032244691565731,-2.1777639512803675
725183,0.155397,VALID,-0.018,-0.038,0.999,true,false,5.01309999999998,-1.032244691565731,-2.1777639512803675
725184,0.1604094,VALID,-0.018,-0.039,0.999,true,false,5.012400000000014,-1.032244691565731,-2.2351022437956822
725185,0.1654225,VALID,-0.017,-0.039,0.999,true,false,5.0131000000000085,-0.9749091578796126,-2.2351022437956822
725186,0.170412,VALID,-0.017,-0.039,0.999,true,false,4.9894999999999925,-0.9749091578796126,-2.2351022437956822
725187,0.175389,VALID,-0.017,-0.039,0.999,true,false,4.977000000000004,-0.9749091578796126,-2.2351022437956822
725188,0.180417,VALID,-0.017,-0.04,0.999,true,false,5.027999999999992,-0.9749091578796126,-2.292442775955887
725189,0.1854803,VALID,-0.017,-0.04,0.999,true,false,5.063299999999998,-0.9749091578796126,-2.292442775955887
725190,0.1904979,VALID,-0.016,-0.039,0.999,true,false,5.017599999999987,-0.9175716714142002,-2.2351022437956822
725191,0.1954593,VALID,-0.006,-0.034,0.999,true,false,4.961400000000026,-0.34411465826711285,-1.9484320243766013
725192,0.2004769,VALID,-0.005,-0.012,1,true,false,5.017599999999987,-0.2864765102770745,-0.6875658564108561
725193,0.2054945,VALID,-0.004,0.011,1,true,false,5.017599999999987,-0.22918189575410042,0.6302662854497764
725194,0.210518,VALID,-0.004,0.035,0.999,true,false,5.023500000000013,-0.22941130461046613,2.0057619349098257
725195,0.2155356,VALID,-0.005,0.057,0.998,true,false,5.017599999999987,-0.28705060190314763,3.267630485720823
725196,0.2205532,VALID,-0.006,0.074,0.997,true,false,5.017600000000016,-0.3448049418344468,4.243766854803649
725197,0.2255708,VALID,-0.007,0.087,0.996,true,false,5.017599999999987,-0.4026745514529658,4.991042573144861
725198,0.2305392,VALID,-0.008,0.097,0.995,true,false,4.968400000000003,-0.4606596577738017,5.566443107310412
725199,0.2355568,VALID,-0.009,0.104,0.995,true,false,5.017600000000016,-0.5182391488981603,5.969555350215054
725200,0.2405803,VALID,-0.008,0.101,0.995,true,false,5.023499999999984,-0.4606596577738017,5.796757820626846
725201,0.2456215,VALID,-0.006,0.099,0.995,true,false,5.0412000000000035,-0.3454980003103955,5.681588950519801
725202,0.250645,VALID,-0.005,0.098,0.995,true,false,5.023500000000013,-0.28791606655709323,5.624013180483932
725203,0.2556694,VALID,-0.004,0.098,0.995,true,false,5.024399999999986,-0.2303335511949248,5.624013180483932
725204,0.2606938,VALID,-0.003,0.097,0.995,true,false,5.024400000000014,-0.17275057053720405,5.566443107310412
725205,0.2657201,VALID,-0.001,0.097,0.995,true,false,5.026299999999992,-0.057583678615148653,5.566443107310412
