frame,time_s,gaze_status,left_eye_status,right_eye_status,left_eye_openness,right_eye_openness,focus_distance,focus_stability,gaze_valid,left_eye_valid,right_eye_valid,blink_left,blink_right,focus_distance_sentinel,focus_out_of_bounds,focus_unstable,in_invalid_run,invalid_run_id
725222,0.3509848,VALID,VALID,VALID,0.774,0.964,0.5942256,0,true,true,true,false,false,false,false,true,false,
725223,0.3558444,VALID,VALID,VALID,0.774,0.965,0.5904288,0,true,true,true,false,false,false,false,true,false,
725224,0.360878,VALID,VALID,VALID,0.774,0.965,0.5871825,0,true,true,true,false,false,false,false,true,false,
725225,0.3659116,VALID,VALID,VALID,0.774,0.966,0.5842775,0,true,true,true,false,false,false,false,true,false,
725226,0.3709287,VALID,VALID,VALID,0.774,0.966,0.5816353,0,true,true,true,false,false,false,false,true,false,
725227,0.3759019,VALID,VALID,VALID,0.773,0.967,0.5835257,0,true,true,true,false,false,false,false,true,false,
725228,0.380919,VALID,VALID,VALID,0.772,0.967,0.5820304,0,true,true,true,false,false,false,false,true,false,
725229,0.3859438,VALID,VALID,VALID,0.772,0.968,0.5810243,0,true,true,true,false,false,false,false,true,false,
725230,0.3909609,VALID,VALID,VALID,0.772,0.968,0.5798037,0.0978217,true,true,true,false,false,false,false,true,false,
725231,0.395941,VALID,VALID,VALID,0.771,0.969,0.5789346,0.09597003,true,true,true,false,false,false,false,true,false,
725232,0.4009581,VALID,VALID,VALID,0.771,0.969,0.5813488,0,true,true,true,false,false,false,false,true,false,
725233,0.4059795,VALID,VALID,VALID,0.771,0.97,0.5807776,0,true,true,true,false,false,false,false,true,false,
725234,0.4110256,VALID,VALID,VALID,0.771,0.97,0.5802897,0,true,true,true,false,false,false,false,true,false,
725235,0.416047,VALID,VALID,VALID,0.772,0.971,0.5798579,0,true,true,true,false,false,false,false,true,false,
725236,0.4210684,VALID,VALID,VALID,0.772,0.971,0.5794402,0,true,true,true,false,false,false,false,true,false,
725237,0.4260855,VALID,VALID,VALID,0.772,0.972,0.5808669,0,true,true,true,false,false,false,false,true,false,
725238,0.4310347,VALID,VALID,VALID,0.772,0.972,0.5832917,0,true,true,true,false,false,false,false,true,false,
725239,0.4360276,VALID,VALID,VALID,0.772,0.972,0.5833713,0,true,true,true,false,false,false,false,true,false,
725240,0.4410364,VALID,VALID,VALID,0.772,0.973,0.5878034,0,true,true,true,false,false,false,false,true,false,
725400,1.2430362,VALID,VALID,VALID,0.804,0.655,0.4991519,0,true,true,true,false,false,false,false,true,false,
725401,1.248052,VALID,VALID,VALID,0.777,0.611,0.5159424,0,true,true,true,false,false,false,false,true,false,
725402,1.2530299,VALID,VALID,VALID,0.755,0.583,0.3886702,0,true,true,true,false,false,false,false,true,false,
725403,1.2580554,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,false,
725404,1.2630712,VALID,VALID,INVALID,0.693,0.548,2,0,true,true,false,false,false,false,false,true,false,
725405,1.2681495,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,0
725406,1.2731653,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,0
725407,1.2781543,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,0
725408,1.2831454,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,0
725409,1.2881579,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,0
725410,1.2931372,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,0
725411,1.2981462,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,0
