Frame,CaptureTime,LogTime,HMDPositionX,HMDPositionY,HMDPositionz,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationHuh,GazeStatus,CombinedGazeForwardX,CombinedGazeForwardY,CombinedGazeForwardZ,CombinedGazePositionX,CombinedGazePositionY,CombinedGazePositionZ,InterPupillaryDistanceInMM,LeftEyeStatus,LeftEyeForwardX,LeftEyeForwardY,LeftEyeForwardZ,LeftEyePositionX,LeftEyePositionY,LeftEyePositionZ,LeftPupilIrisDiameterRatio,LeftPupilDiameterInMM,LeftIrisDiameterInMM,left Eye Openness,RightEyeStatus,RightEyeForwardX,RightEyeForwardY,RightEyeForwardZ,RightEyePositionX,RightEyePositionY,RightEyePositionZ,RightPupilIrisDiameterRatio,RightPupilDiameterInMM,RightIrisDiameterInMM,Right Eye Openness,FocusDistance,FocusStability
725175,1000003884747010600,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.019, -0.036, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.005, 0.999),(-0.028, 0.000, 0.000),0.416,2.864,6.887,0.892,VALID,(-0.019, -0.036, 0.999),(0.028, 0.000, 0.000),0.421,2.715,6.454,0.877,0.8065137,0.3992666
725176,1000003884751999800,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.019, -0.036, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.005, 0.999),(-0.028, 0.000, 0.000),0.416,2.863,6.887,0.892,VALID,(-0.019, -0.036, 0.999),(0.028, 0.000, 0.000),0.420,2.713,6.454,0.879,0.8030896,0.4337446
725177,1000003884757017400,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.018, -0.036, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.005, 0.999),(-0.028, 0.000, 0.000),0.415,2.861,6.887,0.893,VALID,(-0.018, -0.036, 0.999),(0.028, 0.000, 0.000),0.420,2.711,6.454,0.878,0.7991894,0.448089
725178,1000003884762084100,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.018, -0.037, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.005, 0.999),(-0.028, 0.000, 0.000),0.415,2.860,6.887,0.889,VALID,(-0.018, -0.037, 0.999),(0.028, 0.000, 0.000),0.420,2.710,6.454,0.881,0.7939894,0.4687098
725179,1000003884767079500,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.018, -0.037, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.005, 0.999),(-0.028, 0.000, 0.000),0.415,2.858,6.887,0.886,VALID,(-0.018, -0.037, 0.999),(0.028, 0.000, 0.000),0.420,2.708,6.454,0.882,0.7891431,0.5012683
725180,1000003884772091900,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.018, -0.037, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.005, 0.999),(-0.028, 0.000, 0.000),0.415,2.857,6.887,0.887,VALID,(-0.018, -0.037, 0.999),(0.028, 0.000, 0.000),0.419,2.707,6.454,0.882,0.7843742,0.5260853
725181,1000003884777117000,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.018, -0.038, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.004, 0.999),(-0.028, 0.000, 0.000),0.414,2.855,6.887,0.887,VALID,(-0.018, -0.038, 0.999),(0.028, 0.000, 0.000),0.419,2.705,6.454,0.883,0.7792032,0.5231228
725182,1000003884782129400,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.018, -0.038, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.004, 0.999),(-0.028, 0.000, 0.000),0.414,2.853,6.887,0.885,VALID,(-0.018, -0.038, 0.999),(0.028, 0.000, 0.000),0.419,2.703,6.454,0.884,0.7743719,0.5467602
725183,1000003884787142500,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.018, -0.038, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.004, 0.999),(-0.028, 0.000, 0.000),0.414,2.852,6.887,0.883,VALID,(-0.018, -0.038, 0.999),(0.028, 0.000, 0.000),0.419,2.701,6.454,0.884,0.7687284,0.5604393
725184,1000003884792154900,63875744676001,(0.000, 0.000, 0.000),(0.000, 0.000, 0.000, 1.000),VALID,(-0.018, -0.039, 0.999),(0.000, 0.000, 0.000),52.375,VALID,(0.032, -0.004, 0.999),(-0.028, 0.000, 0.000),0.414,2.851,6.887,0.882,VALID,(-0.018, -0.039, 0.999),(0.028, 0.000, 0.000),0.418,2.699,6.454,0.884,0.7645019,0.6513069
